,algo,timesteps,time_usage,reward_mean,reward_std
0,SAC,10000,72.34324407577515,-122.42005400000001,87.13109614766388
1,SAC,20000,183.4531741142273,-112.83127729999998,82.27111085979118
2,SAC,30000,314.8557698726654,-106.1577595,65.29005591664524
3,SAC,40000,504.65192675590515,-117.28506449999998,60.61076788801457
4,SAC,50000,672.7015459537506,-102.49438479999999,65.2666171865572
5,SAC,60000,807.9447810649872,-120.43494109999999,34.78607958804822
6,SAC,70000,1001.0699932575226,-120.3023046,75.10564317575813
7,SAC,80000,1214.7917897701263,-122.3005647,52.86557382844097
8,SAC,90000,1427.9891197681427,-128.3307205,28.15901527840067
9,SAC,100000,1637.2415845394135,-80.6598607,56.45290075771937
10,SAC,110000,1845.8594839572906,-136.19883570000002,56.206981486676725
11,SAC,120000,2058.7092990875244,-109.6748534,72.31727326808641
12,SAC,130000,2269.8151116371155,-133.4927973,66.91396412716476
13,SAC,140000,2482.9732916355133,-93.1003943,66.80889948863582
14,SAC,150000,2689.5030477046967,-151.6749384,86.33492463848584
15,SAC,160000,2902.425003051758,-153.5806359,45.084394539264395
16,SAC,170000,3116.281277179718,-93.7374452,68.19181581849092
17,SAC,180000,3327.013672351837,-112.5491947,99.52687546249057
18,SAC,190000,3538.156284570694,-75.1924457,43.205455174827364
19,SAC,200000,3751.862837791443,-107.906402,43.58361174487113
20,SAC,210000,3962.9810411930084,-142.9457825,37.545771171661066
21,SAC,220000,4172.457284927368,-128.5864309,40.52851388613035
22,SAC,230000,4381.55943441391,-155.18861330000001,94.91561282441477
23,SAC,240000,4588.497599124908,-86.92039650000001,67.37008660940899
24,SAC,250000,4792.753676176071,-121.642776,51.26390241855927
25,SAC,260000,5001.67320561409,-149.9417414,83.7179344231196
26,SAC,270000,5209.205286026001,-136.5985314,32.79813618297407
27,SAC,280000,5416.085675001144,-131.34965419999997,53.352822600402234
28,SAC,290000,5630.339220285416,-134.7620547,62.13784811955812
29,SAC,300000,5836.808438539505,-97.9020434,45.25074460469566
30,SAC,310000,6047.168651580811,-121.37929349999999,11.640546424830227
31,SAC,320000,6258.37925195694,-67.1911157,61.869364996611644
32,SAC,330000,6469.429015159607,-119.3558076,56.283223907588344
33,SAC,340000,6676.361041069031,-138.83586310000004,89.6105876651254
34,SAC,350000,6888.711009502411,-75.97987449999998,54.452159549024714
35,SAC,360000,7098.911429643631,-134.2161661,86.10106213070023
36,SAC,370000,7284.102752685547,-137.1822616,62.66828835811564
37,SAC,380000,7449.350847482681,-115.2309448,42.76117795078048
38,SAC,390000,7622.6270403862,-102.31249170000001,29.180532211374867
39,SAC,400000,7797.522575855255,-117.76963579999999,66.73122558091761
40,SAC,410000,7970.745815038681,-120.32513940000001,72.1879872580526
