,algo,timesteps,time_usage,reward_mean,reward_std
0,TRPO,80000,366.96709728240967,-2761.4749873,6.23424524631619
1,TRPO,160000,944.9108612537384,-2013.3319971,3.7394520332664265
2,TRPO,240000,1522.9295454025269,-1516.9117397,55.45104339635083
3,TRPO,320000,2090.288533449173,-1007.7170543,14.743669047057514
4,TRPO,400000,2666.2695734500885,-95.79015940000001,110.49686882532853
5,TRPO,480000,3243.026277065277,124.91480900000002,69.01867281238685
6,TRPO,560000,3806.683796644211,139.43600999999998,182.3286225827297
7,TRPO,640000,4377.910931587219,366.30283210000005,146.56101908698466
8,TRPO,720000,4951.930380821228,625.1452027,87.88937865862998
9,TRPO,800000,5521.10568356514,871.3872638,46.72139335105479
10,TRPO,880000,6093.3979613780975,1181.6050650000002,52.17240866220953
11,TRPO,960000,6664.819809675217,-556.3436671000001,205.98625869743847
12,TRPO,1040000,7239.320244550705,337.09219429999996,297.08197325543733
13,TRPO,1120000,7810.459449529648,93.5374994,756.3196102193641
14,TRPO,1200000,8376.805217504501,819.9536663000001,1501.2807940255716
15,TRPO,1280000,8946.645215034485,-2901.2968916,1306.177122611074
16,TRPO,1360000,9505.456341981888,-3773.1676329,304.4941784610872
17,TRPO,1440000,10074.517874240875,-1253.0123894,1154.7409228086635
18,TRPO,1520000,10597.00950551033,-2039.9835775,1360.1459970985816
19,TRPO,1600000,11122.329795122147,-199.02238350000002,48.23554390205281
20,TRPO,1680000,11694.915305376053,755.5419884,393.555571852625
21,TRPO,1760000,12264.314846277237,1235.5695832000001,666.1643211224292
22,TRPO,1840000,12830.048093557358,1759.2177445000002,1064.4506335454598
23,TRPO,1920000,13389.276096820831,2214.6526077,46.35715246098553
24,TRPO,2000000,13972.344398260117,-344.59737800000005,69.76200985711276
25,TRPO,2080000,14484.875447273254,1549.8803788,1027.495920578165
26,TRPO,2160000,15046.162341594696,270.67782049999994,1131.6767134236825
27,TRPO,2240000,15572.074002742767,116.15992539999995,1140.3736201897689
28,TRPO,2320000,16103.923173904419,63.87356919999995,1093.8238137046844
29,TRPO,2400000,16623.83276104927,-326.43316359999994,860.8112073518587
