,algo,timesteps,time_usage,reward_mean,reward_std
0,TRPO,80000,64.47374296188354,-357.2301075,40.05398852817118
1,TRPO,160000,307.5433404445648,-821.0687575,715.5750253468328
2,TRPO,240000,706.2609465122223,-837.2343138,37.570140047000855
3,TRPO,320000,1233.6122221946716,215.6670064,21.373126120382125
4,TRPO,400000,1802.110780954361,-611.4864785999999,61.755072272632304
5,TRPO,480000,2315.9909794330597,401.0315151,29.737713586051438
6,TRPO,560000,2889.2787234783173,274.60624989999997,16.759670489832565
7,TRPO,640000,3458.064533472061,325.80485880000003,6.646588479693582
8,TRPO,720000,4030.5410788059235,403.66684180000004,6.141323686135082
9,TRPO,800000,4606.456388711929,203.06021219999997,10.923037348381834
10,TRPO,880000,5176.684057712555,467.29315779999996,61.0436097604449
11,TRPO,960000,5749.514783859253,-550.1908692,631.543044346317
12,TRPO,1040000,6287.078723192215,500.7244552,46.586864475515675
13,TRPO,1120000,6857.000396966934,388.5566025,57.058386738176615
14,TRPO,1200000,7432.550180912018,8.6243141,33.14207675174499
15,TRPO,1280000,8006.8634741306305,601.75044,59.351565183758495
16,TRPO,1360000,8571.77885723114,778.2273318,72.97111299744525
17,TRPO,1440000,9146.956182956696,659.3908878999999,67.34190331842302
18,TRPO,1520000,9726.681479930878,486.2515058,21.366963203509005
19,TRPO,1600000,10292.547208547592,-578.8760331000001,116.59143034226216
20,TRPO,1680000,10873.359933137894,-1163.5088014,388.6508783417173
21,TRPO,1760000,11457.819029569626,-707.282194,186.0318801721163
22,TRPO,1840000,12028.725889921188,-771.6054138,17.53313822036068
23,TRPO,1920000,12609.04668879509,-596.7093405,19.255616696703573
24,TRPO,2000000,13196.471866607666,506.97761899999995,65.08140556877429
25,TRPO,2080000,13781.568588018417,22.6825518,125.5134540405267
26,TRPO,2160000,14366.770353078842,1030.064828,31.62941324446183
27,TRPO,2240000,14941.741748809814,-58.91004989999999,373.54334565671036
28,TRPO,2320000,15531.749598503113,-377.8295633000001,414.66179439275646
29,TRPO,2400000,16115.0245449543,691.4852015,41.39856828248866
30,TRPO,2480000,16690.019280433655,588.2419912,102.75394458713969
31,TRPO,2560000,17276.331151247025,806.6260745000001,39.59544784006762
32,TRPO,2640000,17868.61699819565,662.2289665999999,147.46322177112518
33,TRPO,2720000,18449.104774951935,975.9001090999998,52.138533865307316
34,TRPO,2800000,19034.993139743805,694.7787248000001,253.14275608167213
35,TRPO,2880000,19617.11101770401,955.8093499,53.356547242632026
36,TRPO,2960000,20206.64994072914,882.4389338000001,295.89320152614374
37,TRPO,3040000,20794.15648674965,904.7586684,63.82448757875542
38,TRPO,3120000,21372.619104862213,473.08103029999995,210.63936090962477
39,TRPO,3200000,21962.029477357864,619.8651226,116.86739110789799
40,TRPO,3280000,22554.211377620697,884.1786063,67.98610733723915
41,TRPO,3360000,23140.777645111084,514.2314899,144.3171309203299
42,TRPO,3440000,23728.72276043892,617.8508204,91.08747367332228
43,TRPO,3520000,24318.445948839188,610.1112118,48.888376449767904
44,TRPO,3600000,24905.021054267883,571.3267454999999,139.64310754433964
45,TRPO,3680000,25493.95482993126,1003.0849372,75.85220464153308
46,TRPO,3760000,26077.38174510002,1030.4918315999998,59.18337029081296
47,TRPO,3840000,26669.97021794319,1231.8828899,49.117259054560314
48,TRPO,3920000,27266.756603717804,1177.7365843,73.36002791771084
49,TRPO,4000000,27854.14800953865,681.9559914,675.040302117504
50,TRPO,4080000,28446.482782125473,1171.1549618000001,98.75940260183552
51,TRPO,4160000,29039.24042057991,1020.6558636,78.94768997966258
52,TRPO,4240000,29627.3554623127,292.0121228,946.7943435613047
53,TRPO,4320000,30221.04102373123,637.8483863,724.9397924064725
54,TRPO,4400000,30806.54655480385,1238.1003784,102.75403490312524
55,TRPO,4480000,31398.467668294907,-788.7527032999999,657.9557678067716
56,TRPO,4560000,31990.898925065994,913.7687828,260.9982826393962
