,algo,timesteps,time_usage,reward_mean,reward_std
0,DDPG,80000,756.8638894557953,-1098.9920004,93.41931063928517
1,DDPG,160000,1600.7909142971039,-279.7926864,64.9512436425359
2,DDPG,240000,2383.1376643180847,2779.6529473,32.187125151314866
3,DDPG,320000,3229.393764734268,2599.9541075,1.00228315302313
4,DDPG,400000,4040.8225996494293,2780.2502868999995,0.5403310363403331
5,DDPG,480000,4883.926898956299,1867.4616553,442.48034603009813
6,DDPG,560000,5721.892311811447,2736.5888225999997,24.12495442615801
7,DDPG,640000,6493.2822988033295,2689.1642810999997,34.74330643341586
8,DDPG,720000,7177.819259881973,1956.6749642,74.16762195148773
9,DDPG,800000,7848.848708868027,2695.0145786000003,36.75369584935909
10,DDPG,880000,8542.909365653992,2785.1187755,2.212584453357986
11,DDPG,960000,9203.892397642136,1951.2497931000003,19.953675592473378
12,DDPG,1040000,9786.615488052368,2797.7776669999994,2.207110768614194
13,DDPG,1120000,10390.493934392929,2639.3767809,2.1937581919975173
14,DDPG,1200000,10981.597362279892,2760.956817,2.5814600796856673
15,DDPG,1280000,11580.50935125351,2271.9110821,107.81695496264373
16,DDPG,1360000,12188.795886278152,2549.4891882,2.284139326738059
17,DDPG,1440000,12785.109291791916,1310.5006477,43.293427055851424
18,DDPG,1520000,13384.774538993835,255.09886799999998,399.8006709606054
19,DDPG,1600000,13969.625590324402,2774.3624332,3.590118307456006
20,DDPG,1680000,14575.040907621384,2668.2797509,2.6967621962633634
21,DDPG,1760000,15183.473753213882,1551.1212689000001,46.2711718427655
22,DDPG,1840000,15776.025718688965,2247.888607,50.16008120501756
23,DDPG,1920000,16348.889590978622,2503.9174678,1.3699161808044942
24,DDPG,2000000,16869.93778514862,2629.1566310000003,2.677457916519308
25,DDPG,2080000,17369.06199669838,2716.0972143000004,3.2792122275126703
26,DDPG,2160000,17893.54878306389,2608.7000448999997,3.3616851299447714
27,DDPG,2240000,18393.403904676437,1781.6786012,22.824268225204225
28,DDPG,2320000,18873.59469985962,2616.5678047,4.462605182456004
29,DDPG,2400000,19370.871493577957,2643.7674954,0.8258591703687537
30,DDPG,2480000,19881.935581207275,2727.5833734999997,1.0362072972691325
31,DDPG,2560000,20377.010526657104,2774.4273258,1.0462267237181064
32,DDPG,2640000,20885.798236846924,2787.3374219,2.3325513404629885
33,DDPG,2720000,21388.274250030518,2663.1720422999997,3.908140867383043
34,DDPG,2800000,21885.55063343048,2557.3309782999995,1.4965330878295051
35,DDPG,2880000,22386.170560359955,2569.9556841999997,5.1060990233399615
36,DDPG,2960000,22877.275616645813,2611.6949113,2.633823360560487
37,DDPG,3040000,23375.09217262268,-1284.9981431,39.48926836535391
38,DDPG,3120000,23871.49762892723,2665.8267386,8.183190504892181
39,DDPG,3200000,24359.523941516876,2059.8551324,1216.4020985067677
40,DDPG,3280000,24866.955449581146,87.15139099999996,1455.421874699635
41,DDPG,3360000,25378.31414747238,2752.7375837,2.6686415745554872
42,DDPG,3440000,25878.56275486946,2802.5038250000002,1.9272505343894897
43,DDPG,3520000,26390.540495157242,2669.3300013,2.429676018110321
44,DDPG,3600000,26882.233262062073,2686.0630090000004,1.628233808627789
45,DDPG,3680000,27368.740957975388,2718.5166661,3.777989831677321
46,DDPG,3760000,27873.43105173111,1036.4196746,510.54138298476335
47,DDPG,3840000,28380.600207567215,2545.5107786,3.872575835841245
48,DDPG,3920000,28865.771442890167,2673.2451888,2.4295283952919435
49,DDPG,4000000,29377.09860253334,2737.1295352000006,0.8883751443911388
50,DDPG,4080000,29870.268661260605,-3024.8619491,0.7352996480859318
51,DDPG,4160000,30382.703009605408,-238.4238093,0.3458738090509458
52,DDPG,4240000,30843.4311170578,-877.5943727,1487.603849498705
53,DDPG,4320000,31341.910229444504,2761.3900265,0.5733634094897684
54,DDPG,4400000,31836.58754181862,2664.4050973,1.346356645833444
55,DDPG,4480000,32305.645531654358,2770.1645003999997,1.067309388105342
56,DDPG,4560000,32674.029483556747,2254.5535918999994,4.171611022304369
57,DDPG,4640000,33047.49666070938,2741.6109638,1.8164019882164593
58,DDPG,4720000,33405.58927512169,2734.963281,2.245602892870302
59,DDPG,4800000,33781.02449798584,2666.4554353,33.01027725678543
60,DDPG,4880000,34140.374911785126,1176.4190168,1457.9490505374347
61,DDPG,4960000,34501.103914022446,2588.0511714,19.148367336255067
62,DDPG,5040000,34876.522983551025,2702.7020492,1.938872331981714
63,DDPG,5120000,35237.27176642418,711.7549068000001,441.47685430056856
64,DDPG,5200000,35606.919701099396,2626.1290942,32.29153461290018
65,DDPG,5280000,35975.337857961655,2616.5617773000004,40.44358605763187
66,DDPG,5360000,36330.33398771286,2742.5949281000003,0.6447414290217719
67,DDPG,5440000,36692.068288087845,2772.7129542,6.390942618408823
68,DDPG,5520000,37045.64391994476,2666.1816291000005,2.9858007563864275
69,DDPG,5600000,37414.91811513901,-1513.5163802,136.89592097328259
70,DDPG,5680000,37780.27749419212,2752.7170062,2.2135825190330505
71,DDPG,5760000,38134.8846039772,2698.0645793999997,1.6099405311580082
72,DDPG,5840000,38505.81750822067,2738.5840993000006,1.9061775946278
73,DDPG,5920000,38872.712659835815,2734.8562543,2.8083110826950506
74,DDPG,6000000,39231.369926929474,2673.0020723999996,3.0011509750852263
75,DDPG,6080000,39600.29915738106,2708.5877702000003,3.035336148404857
76,DDPG,6160000,39970.236662864685,2577.4577525999994,2.579850405277867
77,DDPG,6240000,40323.608448028564,1294.2847039,783.4830533649323
78,DDPG,6320000,40686.3841278553,2658.9539257999995,285.4629322931137
79,DDPG,6400000,41049.558109760284,2656.550299,1.9431199519936233
80,DDPG,6480000,41402.92154073715,-1071.0248237,1147.5457796609742
81,DDPG,6560000,41755.13443732262,2538.4983961999997,291.16348312537315
82,DDPG,6640000,42113.548768758774,2662.5460906,1.2444257972648154
