,algo,timesteps,time_usage,reward_mean,reward_std
0,DDPG,10000,43.04117941856384,-556.8105864,46.61452767224985
1,DDPG,20000,107.65855836868286,208.2615275,309.51445958934505
2,DDPG,30000,171.920889377594,177.2862675,422.5990947821346
3,DDPG,40000,237.29478812217712,1328.5248778,1347.7007123912244
4,DDPG,50000,301.80326318740845,2416.856288,436.0760719931357
5,DDPG,60000,367.5820224285126,3581.5089885,380.90369112269366
6,DDPG,70000,432.7246820926666,3752.3423637,191.47610980228143
7,DDPG,80000,497.6915109157562,4036.6847475000004,184.8511197766553
8,DDPG,90000,562.6553108692169,4120.6950928999995,121.99244522012897
9,DDPG,100000,627.828250169754,4381.07456,149.637896199787
10,DDPG,110000,693.5396993160248,4752.016003500001,213.94945451026385
11,DDPG,120000,758.0724174976349,4510.5550476,111.53455185894346
12,DDPG,130000,823.3951740264893,4782.998277600001,140.24080903054346
13,DDPG,140000,888.0456516742706,4895.0805183,77.61154039896455
14,DDPG,150000,954.2167990207672,4223.458317299999,1608.4001875865001
15,DDPG,160000,1019.0553779602051,4242.6472561,1514.5844204020912
16,DDPG,170000,1084.8562531471252,5167.8424793,196.00929051274724
17,DDPG,180000,1149.7529346942902,5704.8331836,321.09446378752386
18,DDPG,190000,1215.4123401641846,5418.0892935,224.25110764277306
19,DDPG,200000,1280.017455816269,5090.558211500001,970.8656564292768
20,DDPG,210000,1345.6232507228851,6372.640784599999,106.35853041839506
21,DDPG,220000,1410.6795115470886,6578.9546753,73.89806226944448
22,DDPG,230000,1476.479246854782,3660.1937649000006,594.6647754530555
23,DDPG,240000,1540.8485162258148,6868.786639,102.355713946913
24,DDPG,250000,1606.6599686145782,6156.6475483,503.5587732397783
25,DDPG,260000,1671.2159492969513,6624.6660829,124.78476696720588
26,DDPG,270000,1736.3836731910706,6654.440754,66.63833843280263
27,DDPG,280000,1800.8697969913483,6638.4299558,243.70918013916335
28,DDPG,290000,1866.1731278896332,7134.5456372,102.02659085802637
29,DDPG,300000,1931.3177816867828,6812.112674899999,88.70284194960419
30,DDPG,310000,1996.080235004425,6210.3891232,212.92777088623077
31,DDPG,320000,2061.391696214676,6894.1387942,173.50172525894266
32,DDPG,330000,2125.9060492515564,6452.9774539,137.55758073854372
33,DDPG,340000,2191.185429573059,6213.5108533,612.0962266227858
34,DDPG,350000,2255.847173690796,6732.804441800001,285.85310344757016
35,DDPG,360000,2321.3813259601593,6908.6763154,102.04420668999366
36,DDPG,370000,2386.3372406959534,6073.1539028,1770.9335654457132
37,DDPG,380000,2451.9774219989777,6941.265825199999,157.0199908527507
38,DDPG,390000,2517.0311994552612,7018.2441997000005,138.97072171949208
39,DDPG,400000,2582.580997467041,6940.223653999999,120.73343077787098
40,DDPG,410000,2647.2705297470093,6716.5209269000015,741.4225575292212
41,DDPG,420000,2713.129185438156,7013.710144,105.35970192136037
42,DDPG,430000,2777.645799636841,6939.208241,123.1299274503255
43,DDPG,440000,2843.291501760483,7225.436375899999,134.2012565307833
44,DDPG,450000,2908.193199634552,6831.9845543,160.12209056609305
45,DDPG,460000,2973.709112405777,7202.0072023,80.33542226335982
